LEAName,LEATypeDescription_first,LEACounty_first,YearsInEd_mean,YearsInLEA_mean,female_sum,AnnualSalary_mean,N_teachers
Spring Grove Area SD,School District,York,13.8252148997135,12.5845272206304,250,71905.6819484241,349
Spring-Ford Area SD,School District,Montgomery,15.0059880239521,13.0943113772455,506,77273.6116941529,668
Springfield SD,School District,Delaware,15.3333333333333,13.2837465564738,251,78480.2644628099,363
Springfield Township SD,School District,Montgomery,13.5016722408027,10.494983277592,203,81405.0367892977,299
State College Area SD,School District,Centre,16.0414052697616,12.1919698870765,579,71000.3199498118,797
Steel Valley SD,School District,Allegheny,8.72571428571429,7.28,115,72171.2857142857,175
Steelton-Highspire SD,School District,Dauphin,10.71,9.02,70,54293.73,100
Sto-Rox SD,School District,Allegheny,14.0390625,12.203125,90,58174.7421875,128
Stroudsburg Area SD,School District,Monroe,18.1588594704684,15.6904276985743,389,75504.0855397149,491
Sullivan County SD,School District,Sullivan,13.3888888888889,11.3968253968254,78,70702.8492063492,126
Susquehanna Community SD,School District,Susquehanna,13.875,12.9375,70,71863.7083333333,96
Susquehanna Township SD,School District,Dauphin,13.0648854961832,9.32824427480916,197,61823.9087301587,262
Susquenita SD,School District,Perry,13.9281437125749,12.2275449101796,117,57442.9940119761,167
Tamaqua Area SD,School District,Schuylkill,14.4628820960699,11.6768558951965,162,61652.2707423581,229
Titusville Area SD,School District,Venango,15.8846153846154,14.4059829059829,161,58479.764957265,234
Towanda Area SD,School District,Bradford,13.9207317073171,11.7987804878049,96,66600.5304878049,164
Tredyffrin-Easttown SD,School District,Chester,14.6203703703704,12.195987654321,479,85044.0324074074,648
Tri-Valley SD,School District,Schuylkill,15.1832061068702,12.9083969465649,92,57946.0703125,131
Trinity Area SD,School District,Washington,15.4129032258065,14.1322580645161,216,66605.3032258064,310
Troy Area SD,School District,Bradford,14.5227272727273,13.3030303030303,94,61924.3863636364,132
Tulpehocken Area SD,School District,Berks,15.3969849246231,12.9497487437186,141,68737.4824120603,199
Tunkhannock Area SD,School District,Wyoming,14.1492537313433,12.1641791044776,209,68259.4029850746,268
Turkeyfoot Valley Area SD,School District,Somerset,12.02,11.62,37,37650.8541666667,50
Tuscarora SD,School District,Franklin,13.7764227642276,11.1991869918699,171,64044.3083333333,246
Tussey Mountain SD,School District,Bedford,13.7919463087248,12.1073825503356,98,49401.4496644295,149
Twin Valley SD,School District,Berks,15.1884057971014,12.713768115942,211,72826.9746376812,276
Tyrone Area SD,School District,Blair,14.0140845070423,12.0093896713615,150,54633.7230046948,213
Union Area SD,School District,Lawrence,13.9375,13.25,55,58734.4875,80
Union City Area SD,School District,Erie,17.0406976744186,15.0581395348837,105,54785.9186046512,172
Union SD,School District,Clarion,12.90625,12.4375,59,57509.2083333333,96
Uniontown Area SD,School District,Fayette,12.6721854304636,11.5198675496689,234,61405.2251655629,302
Unionville-Chadds Ford SD,School District,Chester,10.8320987654321,10.8320987654321,288,78414.562962963,405
United SD,School District,Indiana,16.3888888888889,14.1759259259259,71,72729.5660377358,108
Upper Adams SD,School District,Adams,17.1800947867299,14.4170616113744,168,59015.0900473934,211
Upper Darby SD,School District,Delaware,12.526967285588,12.0618921308576,817,64060.3837312113,1131
Upper Dauphin Area SD,School District,Dauphin,15.8613445378151,13.1932773109244,158,62823.594017094,238
Upper Dublin SD,School District,Montgomery,15.2062780269058,13.4641255605381,312,92154.7421524664,446
Upper Merion Area SD,School District,Montgomery,15.019801980198,12.9529702970297,295,94088.6153846154,404
Upper Moreland Township SD,School District,Montgomery,15.6210191082803,13.2515923566879,240,81125.8343949045,314
Upper Perkiomen SD,School District,Montgomery,11.5186440677966,9.92881355932203,211,81494.5254237288,295
Upper Saint Clair SD,School District,Allegheny,15.4959785522788,13.0160857908847,254,77766.1260053619,373
Valley Grove SD,School District,Venango,15.3613445378151,13.2352941176471,79,57822.6386554622,119
Valley View SD,School District,Lackawanna,14.3030303030303,12.8225108225108,178,57054.9653679654,231
Wallenpaupack Area SD,School District,Pike,16.8759493670886,15.0936708860759,277,74931.4256410256,395
Wallingford-Swarthmore SD,School District,Delaware,16.6757493188011,14.41689373297,265,82000.9863760218,367
Warren County SD,School District,Warren,14.4089219330855,12.864312267658,417,54688.9033457249,538
Warrior Run SD,School District,Northumberla,13.2251655629139,11.9337748344371,105,55405.5066666667,151
Warwick SD,School District,Lancaster,14.769436997319,12.2412868632708,260,72040.2492753623,373
Washington SD,School District,Washington,14.1223404255319,12.2765957446809,124,55236.9255319149,188
Wattsburg Area SD,School District,Erie,13.5829145728643,10.8391959798995,134,55454.3206521739,199
Wayne Highlands SD,School District,Wayne,15.9772727272727,13.6396103896104,220,77361.1038961039,308
Waynesboro Area SD,School District,Franklin,13.8682795698925,11.7688172043011,300,60214.0898876404,372
Weatherly Area SD,School District,Carbon,17.8918918918919,16.0810810810811,84,63038.4594594595,111
Wellsboro Area SD,School District,Tioga,15.2692307692308,13.9807692307692,111,65015.5256410256,156
West Allegheny SD,School District,Allegheny,14.0981818181818,12.7890909090909,201,73563.5963636364,275
West Branch Area SD,School District,Clearfield,13.4579439252336,11.4299065420561,62,59984.6355140187,107
West Chester Area SD,School District,Chester,13.1043137254902,11.7623529411765,897,72161.9332285939,1275
West Greene SD,School District,Greene,13.1595744680851,12.7872340425532,53,62938.8617021277,94
West Jefferson Hills SD,School District,Allegheny,13.4107883817427,11.2614107883817,167,69877.8298755187,241
West Middlesex Area SD,School District,Mercer,14.0434782608696,11.8405797101449,86,56744.0942028986,138
West Mifflin Area SD,School District,Allegheny,14.5579399141631,13.3733905579399,148,77050.3090128755,233
West Perry SD,School District,Perry,15.2652173913043,13.4652173913043,160,60435.4217391304,230
West Shore SD,School District,York,12.8305322128852,11.7310924369748,536,63546.4943977591,714
West York Area SD,School District,York,16.7296416938111,13.7752442996743,233,65260.5439739414,307
Western Beaver County SD,School District,Beaver,15.0416666666667,13.8194444444444,53,60941.2361111111,72
Western Wayne SD,School District,Wayne,14.2448979591837,12.8571428571429,187,69793.5532786885,245
Westmont Hilltop SD,School District,Cambria,13.6086956521739,11.7028985507246,86,63699.4565217391,138
Whitehall-Coplay SD,School District,Lehigh,14.3696145124717,12.5555555555556,268,64934.0481927711,441
Wilkes-Barre Area SD,School District,Luzerne,14.771186440678,14.7697740112994,476,72411.2871287129,708
Wilkinsburg Borough SD,School District,Allegheny,19.2077922077922,18.0909090909091,61,70179.2467532468,77
William Penn SD,School District,Delaware,12.1702637889688,10.462829736211,308,71882.7548076923,417
Williams Valley SD,School District,Schuylkill,13.4166666666667,10.7847222222222,115,49044.1597222222,144
Williamsburg Community SD,School District,Blair,14.0634920634921,13.1587301587302,46,49916.3492063492,63
Williamsport Area SD,School District,Lycoming,15.6838709677419,13.847311827957,342,69609.5397849462,465
Wilmington Area SD,School District,Lawrence,12.978021978022,12.3076923076923,118,61537.3571428571,182
Wilson  SD,School District,Berks,9.03829787234043,8.33404255319149,340,65987.3234042553,470
Wilson Area SD,School District,Northampton,13.8600823045267,12.3333333333333,173,65492.5802469136,243
Windber Area SD,School District,Somerset,13.6106870229008,12.6717557251908,89,55701.6615384615,131
Wissahickon SD,School District,Montgomery,15.1536748329621,13.2761692650334,330,93091.6837416481,449
Woodland Hills SD,School District,Allegheny,11.6148325358852,11.1698564593301,280,59624.0550239234,418
Wyalusing Area SD,School District,Bradford,15.8740157480315,13.4488188976378,85,68905.8503937008,127
Wyoming Area SD,School District,Luzerne,16.2,13.4769230769231,150,63391.9487179487,195
Wyoming Valley West SD,School District,Luzerne,13.5171568627451,12.1323529411765,291,70590.4509803922,408
Wyomissing Area SD,School District,Berks,13.9278846153846,12.3894230769231,147,65583.4086538462,208
York City SD,School District,York,8.22645290581162,7.18436873747495,395,71488.3106212425,499
York Suburban SD,School District,York,18.090395480226,13.3983050847458,254,79705.5028248588,354
Yough SD,School District,Westmoreland,13.2169811320755,12.5235849056604,151,63250.7169811321,212
