LEAName,LEATypeDescription_first,LEACounty_first,YearsInEd_mean,YearsInLEA_mean,female_sum,AnnualSalary_mean,N_teachers
Huntingdon Area SD,School District,Huntingdon,12.1167512690355,10.3604060913706,150,49873.9695431472,197
Indiana Area SD,School District,Indiana,16.9090909090909,14.9475524475524,194,83018.013986014,286
Interboro SD,School District,Delaware,13.3176470588235,12.6,233,75020.3235294118,340
Iroquois SD,School District,Erie,16.6938775510204,13.3401360544218,107,57655.9448275862,147
Jamestown Area SD,School District,Mercer,11.5466666666667,10.3866666666667,49,54701.9066666667,75
Jeannette City SD,School District,Westmoreland,13.0940170940171,10.6752136752137,83,55688.7777777778,117
Jefferson-Morgan SD,School District,Greene,12.4339622641509,11.9150943396226,76,60875.7075471698,106
Jenkintown SD,School District,Montgomery,15.6495726495726,12.1452991452991,87,82282.4158415842,117
Jersey Shore Area SD,School District,Lycoming,13.6973684210526,12.2894736842105,162,64710.8815789474,228
Jim Thorpe Area SD,School District,Carbon,15.2030456852792,13.2791878172589,122,65129.2436548223,197
Johnsonburg Area SD,School District,Elk,15.6091954022988,12.5862068965517,59,56074.6206896552,87
Juniata County SD,School District,Juniata,15.7037037037037,13.4166666666667,232,55974.0557275542,324
Juniata Valley SD,School District,Huntingdon,13.0470588235294,11.5058823529412,61,50755.5058823529,85
Kane Area SD,School District,McKean,15.6104651162791,13.1976744186047,101,58502.4709302326,172
Karns City Area SD,School District,Butler,15.5855263157895,13.7631578947368,106,63264.6351351351,152
Kennett Consolidated SD,School District,Chester,14,11.9193548387097,318,66395.3617511521,434
Keystone  SD,School District,Clarion,15.4339622641509,14.0377358490566,71,60631.9433962264,106
Keystone Central SD,School District,Clinton,13.8739054290718,11.5113835376532,418,68384.1506129597,571
Keystone Oaks SD,School District,Allegheny,12.3971962616822,12.1261682242991,150,66494.023364486,214
Kiski Area SD,School District,Westmoreland,14.960687960688,13.1351351351351,281,70835.9508599509,407
Kutztown Area SD,School District,Berks,16.243654822335,13.1573604060914,140,78253.554973822,197
Lackawanna Trail SD,School District,Wyoming,14.2162162162162,13.1621621621622,73,70324.5855855856,111
Lake-Lehman SD,School District,Luzerne,14.4931506849315,12.6392694063927,173,68240.6255707763,219
Lakeland SD,School District,Lackawanna,13.0634920634921,11.6428571428571,91,59041.3095238095,126
