Match_addr,City,Subregion,Region,Postal,Lon,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,Date_Clean,Address_Cl,Zip_Code,Type_Clean,STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 East Trindle Road 17011,,,17011,,,,,8/11/2016,4650 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 East Trindle Road 17011,,,17011,,,,,7/29/2016,4650 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 East Trindle Road 17011,,,17011,,,,,5/15/2016,4650 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 East Trindle Road 17011,,,17011,,,,,11/29/2015,4650 East Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 Trindle Road 17011,,,17011,,,,,9/27/2015,4650 Trindle Road 17011,17011,Driving Under the Influence,,,,,,,,,,,,,,,,,,
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 East Trindle Road 17011,,,17011,,,,,11/18/2016,4650 East Trindle Road 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"4650 S Clearview Dr, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.96221,40.23418,-76.96221,40.23418,-76.96421,-76.96021,40.23218,40.23618,4650 South Clearview Drive 17011,,,17011,,,,,4/28/2016,4650 South Clearview Drive 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 East Trindle Road 17011,,,17011,,,,,12/28/2016,4650 East Trindle Road 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4650 Creekview Road 17011,,,17011,,,,,6/27/2016,4650 Creekview Road 17011,17011,"Prohibited Acts; Penalties",,,,,,,,,,,,,,,,,,
"4650 Trindle Rd, Hampden Twp, Pennsylvania, 17011",Hampden Twp,Cumberland,Pennsylvania,17011,-76.95554,40.23114,-76.95554,40.23114,-76.95654,-76.95454,40.23013,40.23214,4650 East Trindle Road 17011,,,17011,,,,,8/7/2016,4650 East Trindle Road 17011,17011,Providing False ID to Law Enforcement,,,,,,,,,,,,,,,,,,
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.93739,40.23952,-76.93739,40.23952,-76.94239,-76.93239,40.23452,40.24452,4650 Creekview Road 17011,,,17011,,,,,12/20/2016,4650 Creekview Road 17011,17011,Theft by Unlawful Taking,,,,,,,,,,,,,,,,,,
