OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
779,2024,MVY,82223,82223,5762,5934,57951,0
780,2024,MWA,13797,13942,646,646,5106,0
781,2024,MWH,12,12,2,1,0,0
782,2024,MWL,27,27,1,1,0,0
783,2024,MXY,138,143,105,105,273,1685
784,2024,MYF,14,14,3,3,0,0
785,2024,MYK,27,34,105,105,0,176
786,2024,MYL,4,4,2,2,0,0
787,2024,MYR,1894913,1906347,17553,17605,785860,295
788,2024,MYU,1321,1353,475,476,47194,33199
789,2024,MZJ,0,0,10,11,0,0
790,2024,N1C,1024,1024,20,14,2919,0
791,2024,N1Y,16,16,4,3,0,0
792,2024,N2Y,8,8,2,2,0,0
793,2024,N4Y,43,43,13,13,0,0
794,2024,N8C,3,3,1,2,0,0
795,2024,N8Y,5,5,1,1,0,0
796,2024,NAD,18,18,8,6,0,0
797,2024,NCN,555,555,201,202,14713,1086
798,2024,NEW,29,29,7,6,0,0
799,2024,NGU,40,40,102,95,471954,0
800,2024,NH6,4,4,1,1,0,0
801,2024,NHK,55,55,1,2,0,0
802,2024,NHZ,16,16,6,8,0,0
803,2024,NIB,1013,1409,472,474,89779,6396
804,2024,NIP,0,0,6,8,151729,0
805,2024,NJ1,44,44,17,15,0,0
806,2024,NJ2,9,9,4,7,0,0
807,2024,NJ4,3,3,1,2,0,0
808,2024,NJ7,2,2,1,1,0,0
809,2024,NJK,80,80,1,1,0,0
810,2024,NKI,0,40,71,73,2778,6019
811,2024,NKX,88,88,1,2,0,0
812,2024,NLG,73,80,134,134,1589,7405
813,2024,NM1,1,1,1,1,0,0
814,2024,NME,1447,2218,1047,1057,13980,38692
815,2024,NNK,6,6,6,6,0,0
816,2024,NNL,430,453,396,396,19358,11171
817,2024,NPT,209,209,52,53,0,0
818,2024,NQX,50,50,1,1,0,0
819,2024,NTD,0,0,6,3,13058,0
820,2024,NUI,2344,3593,1424,1456,242672,24859
821,2024,NUL,2480,3437,849,854,85452,39459
822,2024,NUP,3331,4355,2227,2224,18707,20828
823,2024,NUQ,72,72,27,29,0,0
824,2024,NUW,0,0,3,2,7824,0
