"","NCESSCH","USER_ID","cohort","TreatmentFlag","FIDELmid","EFFmeanMID","EFFmeanFINAL","CoTeachStrat","FINAL_a","FINAL_b","FINAL_c","MID_a","MID_b","MID_c","REG_a","REG_b","REG_c","CollabDialogueFinal","CollabDialogueMid","FidelMax","REG_Gender","REG_AgeRange","REG_Exper","REG_GPA","pctLunch","Enrollment","keep","ZPR_1","ZEFFmeanFINAL","ZEFFmeanMID","ZFIDELmid","ZREG_GPA","cc","FIDxGRP","PRE_1","COO_1","LEV_1","PRE_2","COO_2","LEV_2"
"14",422280001801,"562","Semester 5",1,3.72727272727273,3.08333333333333,3.41666666666667,0,3.75,3.5,3,3.25,2.75,3.25,3,3,3,2.6,3.1,4.41666666666667,2,4,1,3.8,0.730418943533698,549,0,-0.667825610019903,-0.457623490395693,-0.667825610019905,-1.0391065701074,0.504303880870253,1,3.72727272727273,-0.612841146568485,1.76394971968142e-05,0.0135792088375876,-0.677984448247226,5.18363366124651e-07,0.0144310273127682
"15",422280001799,"267","Semester 2",1,4.63636363636364,3.91666666666667,3.66666666666667,3,4,3,4,4,4,3.75,4,4,3.75,1.5,2,4.41666666666667,1,1,2,3.85,0.83459595959596,792,0,1.48300064289117,0.149930434506167,1.48300064289117,0.391146579622178,0.704039115963287,1,4.63636363636364,0.0353518496205608,0.00536984375915756,0.00304615363198706,0.108634421113447,0.00449236390974946,0.00412412921408043
"16",422280001799,"333","Semester 3",1,4.18181818181818,3.5,3.75,4,3.75,3.75,3.75,3.5,3,4,3,2.25,2.5,2,2.2,4.41666666666667,2,2,1,3.8,0.83459595959596,792,1,0.407587516435635,0.352448409473454,0.407587516435634,-0.32397999524261,0.504303880870253,1,4.18181818181818,-0.288744648473962,0.00129575489122892,0.00340758199688505,-0.385466651707841,0.00167977032280786,0.00528541984554635
"17",422280001799,"584","Semester 5",1,4.45454545454545,3.08333333333333,3,4,3,3,3,3.25,3.25,2.75,3.25,3.5,3.5,2,1.3,4.83333333333333,2,2,4,3.7,0.83459595959596,792,1,-0.667825610019903,-1.47021336523212,-0.667825610019905,0.105095949676262,0.10483341068419,1,4.45454545454545,-0.0942867496172488,0.000739778075696529,0.00201350116084971,0.394793855061494,0.0170007928639246,0.0500275581614702
"18",422280001799,"583","Semester 5",1,4.90909090909091,3.58333333333333,3.91666666666667,6,4,3.75,4,3.75,3.75,3.25,3.75,3.75,3.75,1.3,1.6,4.91666666666667,2,2,3,3.5,0.83459595959596,792,1,0.622670141726743,0.757484359408026,0.622670141726743,0.82022252454105,-0.69410752968794,1,4.90909090909091,0.229809748477274,0.000608231012097778,0.00753819188143445,0.485728375318979,0.00012530472651084,0.020684727318456
"19",422205006853,"407","Semester 4",1,4.09090909090909,3,3.41666666666667,4,3.5,3.25,3.5,3,3,3,3,3,3,2,2,4.58333333333333,2,1,1,3.8,0.201320132013201,303,1,-0.882908235311011,-0.457623490395693,-0.882908235311013,-0.467005310215567,0.504303880870253,1,4.09090909090909,-0.353563948092867,0.00085570288287062,0.00465709148696119,-0.443970211015718,0.000563916049032305,0.00629769847690785
"20",422205006328,"317","Semester 3",1,4.18181818181818,2.91666666666667,3.33333333333333,2,4,3,3,3.25,3,2.5,3.5,3,3,1.2,2.2,4.66666666666667,2,2,1,3.3,0.12443095599393,659,0,-1.09799086060212,-0.660141465362978,-1.09799086060212,-0.32397999524261,-1.49304847006007,1,4.18181818181818,-0.288744648473962,0.00175005337455505,0.00340758199688505,-0.385466651707841,0.00135594929401731,0.00528541984554635
"21",422205001730,"571","Semester 5",1,4.90909090909091,3.66666666666667,4,3,4,4,4,3.75,4,3.25,3.5,3.25,3.25,1,1,4.91666666666667,1,2,3,3.9,0.199706314243759,681,0,0.83775276701785,0.960002334375313,0.83775276701785,0.82022252454105,0.903774351056318,1,4.90909090909091,0.229809748477274,0.00145652457581014,0.00753819188143445,0.485728375318979,0.000828020549940297,0.020684727318456
"22",422205000455,"334","Semester 3",1,4.45454545454545,4,4,2,4,4,4,4,4,4,3,2,2.5,1.6,1.2,4.41666666666667,2,1,2,3.8,0.165668662674651,501,0,1.69808326818228,0.960002334375313,1.69808326818228,0.105095949676262,0.504303880870253,1,4.45454545454545,-0.0942867496172488,0.00722488767069109,0.00201350116084971,-0.00837269750230828,0.00646594971568849,0.00349511807942963
"23",422205000455,"406","Semester 4",1,4,3.16666666666667,3.58333333333333,3,3.75,3.5,3.5,3.25,3,3.25,3.25,3,3.25,1,3.5,4.08333333333333,2,1,1,3.9,0.165668662674651,501,0,-0.452742984728796,-0.0525875404611189,-0.452742984728798,-0.610030625188524,0.903774351056318,1,4,-0.418383247711771,4.20065279465734e-06,0.00629900891606951,-0.502473770323595,8.13189441909616e-06,0.00771839853931078
