Match_addr,City,Subregion,Region,Postal,Lng,Lat,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,CrimeDate,Address_Cl,Zip_Code,CrimeType
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,301 Railroad Avenue (Palogix) 17011,,,17011,,,,,5/3/2016,301 Railroad Avenue (Palogix) 17011,17011,Theft by Unlawful Taking
"405 St Johns Church Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.953812,40.231030,-76.953812,40.231030,-76.954812,-76.952812,40.230030,40.232030,405 St Johns Church Road (Apria Healthcare) 17011,,,17011,,,,,10/19/2016,405 St Johns Church Road (Apria Healthcare) 17011,17011,Theft by Unlawful Taking
"405 St Johns Church Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.953812,40.231030,-76.953812,40.231030,-76.954812,-76.952812,40.230030,40.232030,405 St Johns Church Road (Apria Healthcare) 17011,,,17011,,,,,9/12/2016,405 St Johns Church Road (Apria Healthcare) 17011,17011,Theft by Unlawful Taking
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,2/12/2016,410 Fallowfield Road (YMCA) 17011,17011,Criminal Mischief
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,9/19/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft by Unlawful Taking
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,5/1/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft by Unlawful Taking
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,4/14/2016,410 Fallowfield Road (YMCA) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,410 St Johns Church Road (Coliseum) 17011,,,17011,,,,,10/30/2015,410 St Johns Church Road (Coliseum) 17011,17011,Theft by Unlawful Taking
"410 Fallowfield Rd, Camp Hill, Pennsylvania, 17011",Camp Hill,Cumberland,Pennsylvania,17011,-76.944812,40.234563,-76.944812,40.234563,-76.945812,-76.943812,40.233563,40.235563,410 Fallowfield Road (YMCA) 17011,,,17011,,,,,10/6/2015,410 Fallowfield Road (YMCA) 17011,17011,Theft by Unlawful Taking
"17011, Camp Hill, Pennsylvania",Camp Hill,,Pennsylvania,17011,-76.937391,40.239519,-76.937391,40.239519,-76.942391,-76.932391,40.234519,40.244519,410 St Johns Church Road (Coliseum) 17011,,,17011,,,,,1/6/2015,410 St Johns Church Road (Coliseum) 17011,17011,Theft by Unlawful Taking
