LEAID,district_,latcod,loncod,TotalFreeLunch,NumberStudents,ulocal,coname,countyCode,NumberTeachers,povrate,NumberSchools,pctprofEnglish,povrateW
4219530,PORT ALLEGANY SD,41.8161,-78.2709,386,882,43,MCKEAN COUNTY,42083,60,.431669717899642,2,43.85,.437641723356009
4219560,PORTAGE AREA SD,40.383,-78.6654,528,926,31,CAMBRIA COUNTY,42021,65.17,.571036841702973,2,43.5,.570194384449244
4219650,POTTSGROVE SD,40.2609,-75.6066,1185,3196,22,MONTGOMERY COUNTY,42091,228,.375865585790077,5,43.15,.370775969962453
4219680,POTTSTOWN SD,40.2599,-75.6296,2240,3133,22,MONTGOMERY COUNTY,42091,224.9,.708769803143567,7,36.16,.714969677625279
4219710,POTTSVILLE AREA SD,40.6841,-76.2182,1639,2842,32,SCHUYLKILL COUNTY,42107,190.25,.578830811755734,3,41,.57670654468684
4219800,PUNXSUTAWNEY AREA SD,40.9464,-78.9902,849,2202,33,JEFFERSON COUNTY,42065,183.1,.409605005226394,8,52.5625,.385558583106267
4219830,PURCHASE LINE SD,40.7351,-78.9187,624,978,42,INDIANA COUNTY,42063,70.13,.637366775882198,2,38.9,.638036809815951
4219860,QUAKER VALLEY SD,40.5367,-80.1813,278,1933,21,ALLEGHENY COUNTY,42003,150.58,.148055352190361,4,48.4666666666667,.143817899637869
4219890,QUAKERTOWN COMMUNITY SD,40.4365,-75.3225,1441,5242,21,BUCKS COUNTY,42017,332.27,.279042445844345,10,48.6625,.274895078214422
4219920,RADNOR TOWNSHIP SD,40.0397,-75.3594,337,3605,21,DELAWARE COUNTY,42045,279.8,.0885657500724667,5,36.05,.0934812760055479
4220040,READING SD,40.3297,-75.9277,16196,17298,13,BERKS COUNTY,42011,986,.941074308206039,19,22.5555555555556,.936293213088218
4220100,RED LION AREA SD,39.8398,-76.6191,1750,5382,41,YORK COUNTY,42133,331.49,.366242146227861,10,47.5,.325157933853586
4220130,REDBANK VALLEY SD,41.0037,-79.318,480,1126,43,CLARION COUNTY,42031,85.5,.433175753920853,3,48.8,.426287744227353
4220220,REYNOLDS SD,41.3373,-80.3954,470,1132,31,MERCER COUNTY,42085,81.8,.415194346289753,2,46.7,.415194346289753
