NCESSCH,USER_ID,cohort,cohort2,ZPR_1,FIDELmid,EFFmeanMID,EFFmeanFINAL,CoTeachStrat,keep3strat,keep4strat,FidelMax,female,REG_AgeRange,REG_Exper,REG_GPA,pctLunch,Enrollment,MID_Fidel1,MID_Fidel2,MID_Fidel3,MID_Fidel4,MID_Fidel5,MID_Fidel6,MID_Fidel7,MID_Fidel8,MID_Fidel9,MID_Fidel10,MID_Fidel11,MID_Fidel12,MID_Fidel13,MID_Fidel14,MID_Fidel15,MID_Fidel16,MID_Fidel17,MID_Fidel18,MID_Fidel19,MID_Fidel20,MID_Fidel21,MID_Fidel22,MID_Fidel23,MID_Fidel24,MID_Fidel25,MID_Fidel26,MID_Fidel27
422280001799,267,Semester 2,1,1.38659298294514,4.63636363636364,3.91666666666667,3.66666666666667,3,1,0,4.41666666666667,0,1,2,3.85,.83459595959596,792,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,5,5
422280001799,333,Semester 3,1,.305456210303657,4.18181818181818,3.5,3.75,4,1,1,4.41666666666667,1,2,1,3.8,.83459595959596,792,4,4,4,4,5,5,4,5,5,4,5,5,4,3,5,5,4,4,4,4,4,4,3,4,3,3,2
422280001799,584,Semester 5,1,-.790499435513307,4.45454545454545,3.08333333333333,3,4,1,1,4.83333333333333,1,2,4,3.7,.83459595959596,792,5,4,4,3,4,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,1,2,2
422280001799,583,Semester 5,1,.429806551143986,4.90909090909091,3.58333333333333,3.91666666666667,6,1,1,4.91666666666667,1,2,3,3.5,.83459595959596,792,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,3
422205006853,407,Semester 4,1,-.974125269055551,4.09090909090909,3,3.41666666666667,4,1,1,4.58333333333333,1,1,1,3.8,.201320132013201,303,4,4,3,3,4,3,5,4,4,5,5,4,4,4,5,5,4,5,4,3,3,4,5,4,4,3,3
422205001730,571,Semester 5,1,.761621116441017,4.90909090909091,3.66666666666667,4,3,1,0,4.91666666666667,0,2,3,3.9,.199706314243759,681,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
422205000455,406,Semester 4,1,-.517960362918191,4,3.16666666666667,3.58333333333333,3,1,0,4.08333333333333,1,1,1,3.9,.165668662674651,501,3,3,5,3,3,3,4,4,4,5,5,4,5,5,5,5,2,4,4,4,4,5,5,5,1,3,3
422157006120,379,Semester 3,1,.0092069406277744,5,3.41666666666667,4,5,1,1,4.16666666666667,1,2,3,3.52,.426326129666012,509,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
422010007500,385,Semester 3,1,1.00452244268518,5,3.75,3.75,6,1,1,5,1,2,1,4,59.864,80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,3
422010007500,574,Semester 5,1,.909681654362112,4.90909090909091,3.75,3.66666666666667,5,1,1,4.83333333333333,1,2,3,3.68,59.864,80,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
422010007500,567,Semester 5,1,.216542971250785,4.63636363636364,3.5,3.91666666666667,4,1,1,4.83333333333333,1,2,3,3.5,59.864,80,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,1,3,2
421914003909,Let,Semester 1 Control,0, ,-9, ,4,0,1,1, , ,-88,-88,-88,.404354587869362,643,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
421899005041,194,Semester 2,1,.826695964579431,4.63636363636364,3.75,3.5,5,1,1,5,1,2,1,3.4,.461538461538462,520,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5
421899005041,289,Semester 3,1,.577995282898774,4.81818181818182,3.58333333333333,3.75,4,1,1,5,1,2,1,4,.461538461538462,520,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4
421899005041,291,Semester 3,1,.0921926304104553,4,3.41666666666667,3.91666666666667,7,1,1,5,1,2,3,3.8,.461538461538462,520,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
421899005041,288,Semester 3,1,.779403764251591,4.90909090909091,3.66666666666667,4,3,1,0,5,1,2,1,3.96,.461538461538462,520,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
421899005041,394,Semester 4,1,-1.40065242884195,4.63636363636364,2.83333333333333,4,7,1,1,5,1,1,2,3.8,.461538461538462,520,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,4
421899004727,Sar,Semester 3 Control,0,-1.00376301540651,4.54545454545455,3,4,0,1,1,4.33333333333333,1,1,1,3.7,50.869,1028,4,3,4,4,4,3,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5
421899004727,Jil,Semester 5 Control,0,-.731223942811392,5,3.08333333333333,3.91666666666667,0,1,1,5,1,2,3,3.9,50.869,1028,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,4,4,5,5,3,3
421899004727,Lau,Semester 5 Control,0,.459444297494944,5,3.58333333333333,3.91666666666667,0,1,1,4.08333333333333,1,2,1,3.6,50.869,1028,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
