NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,FIDxGRP
422010004597,582,1,4.81818181818182,2.66666666666667,3.58333333333333,4,3.25,3.5,2.5,3,2.5,3,2.25,2.75,2,3.1,4.66666666666667,2,2,1,3.3,-1.71104049468973,4.81818181818182
421899006825,195,1,4.54545454545455,3.25,3.25,3,3.25,3.5,3.25,3.5,3,2.75,2.75,2.75,2,2.9,3.83333333333333,1,2,1,4,-.213880061836216,4.54545454545455
421899005041,Col,0,4.63636363636364,3.5, , , , ,3.75,3.25,3.5, , , , ,2.3, ,2,4,1,3.8,.427760123672433,0
421899005041,194,1,4.63636363636364,3.75,3.5,3,3.75,3.75,3.5,4,3.75,3,2.5,2.75,1.4,1.4,5,2,2,1,3.4,1.06940030918108,4.63636363636364
421899005041,289,1,4.81818181818182,3.58333333333333,3.75,4,3.25,4,3.5,3.25,4,3.25,3.5,3.75,1,1,5,2,2,1,4,.64164018550865,4.81818181818182
421899005041,291,1,4,3.41666666666667,3.91666666666667,4,3.75,4,3.75,3,3.5,3.75,3.25,3.25,1.1,2,5,2,2,3,3.8,.213880061836217,4
421899005041,287,1,2.90909090909091,2.91666666666667,1,1,1,1,3,2.75,3,3,3,3.25,2.1,3,4.41666666666667,2,2,2,3.1,-1.06940030918108,2.90909090909091
421899005041,288,1,4.90909090909091,3.66666666666667,4,4,4,4,3.75,3.25,4,3.75,3.75,3.75,1,1,5,2,2,1,3.96,.855520247344866,4.90909090909091
421899005041,393,1,4.09090909090909,3.66666666666667, , , , ,3.75,3.75,3.5,3.5,2.75,3, ,1.9, ,2,2,3,4,.855520247344866,4.09090909090909
421899005041,394,1,4.63636363636364,2.83333333333333,4,4,4,4,2.75,3.25,2.5,2.5,2.75,2.75,1.1,1.7,5,2,1,2,3.8,-1.2832803710173,4.63636363636364
421899005041,468,1,5,3.75, , , , ,4,3.5,3.75,3.25,3.25,4, ,2.3, ,2,2,2,3.2,1.06940030918108,5
421899005041,469,1,4.63636363636364,3.41666666666667, , , , ,3,3.75,3.5,3,3.5,3.5, ,2.4, ,2,1,2,3.3,.213880061836217,4.63636363636364
421899004727,Jen,0,5,3.75, , , , ,3.75,4,3.5, , , , ,1.8, ,2,1,1,3.8,1.06940030918108,0
421899004727,Sar,0,4.54545454545455,3,4,4,4,4,3,3,3, , , ,1.9,2,4.33333333333333,2,1,1,3.7,-.855520247344866,0
421899004727,Jil,0,5,3.08333333333333,3.91666666666667,4,3.75,4,3.25,3,3, , , ,1,1.4,5,2,2,3,3.9,-.641640185508649,0
421899004727,Lau,0,5,3.58333333333333,3.91666666666667,3.75,4,4,3.5,3.5,3.75, , , ,1,1.1,4.08333333333333,2,2,1,3.6,.64164018550865,0
421899004726,Bri,0,4.45454545454545,3.75, , , , ,3.5,3.75,4, , , , ,2.6, ,2,2,1,3,1.06940030918108,0
421899003803,464,1,5,4,4,4,4,4,4,4,4,3,3.75,3.25,2,1,5,2,1,1,3.7,1.71104049468973,5
421899003774,Chr,0,5,3.75, , , , ,4,3.25,4, , , , ,1.2, ,2,3,1,4,1.06940030918108,0
421899003773,Eri,0,4.90909090909091,3.75,3.66666666666667,3.75,3.5,3.75,3.75,3.75,3.75, , , ,1,1,4.91666666666667,2,2,3,4,1.06940030918108,0
421899003769,Chr,1,5,3,4,4,4,4,3,3,3,3.25,3.25,3.5,1,1,5,1,2,1,3.5,-.855520247344866,5
421899003769,196,1,4.90909090909091,3.25,4,4,4,4,3.5,3.5,2.75,3.25,3.25,4,1.2,2.2,5,2,5,1,4,-.213880061836216,4.90909090909091
