NCESSCH,USER_ID,TreatmentFlag,FIDELmid,EFFmeanMID,EFFmeanFINAL,FINAL_a,FINAL_b,FINAL_c,MID_a,MID_b,MID_c,REG_a,REG_b,REG_c,CollabDialogueFinal,CollabDialogueMid,FidelMax,REG_Gender,REG_AgeRange,REG_Exper,REG_GPA,ZPR_1,FIDxGRP
420759007266,384,1,4.81818181818182,3.58333333333333,3.75,3.75,3.75,3.75,3.75,3.5,3.5,3,2.5,3,1.6,1.2,5,2,2,1,3.8,.64164018550865,4.81818181818182
420759006678,210,1,4.63636363636364,3.5, , , , ,3.25,3.75,3.5,1.5,2,1, ,1.2, ,2,3,1,4,.427760123672433,4.63636363636364
420759006678,327,1,4.90909090909091,2.75,3.41666666666667,3.5,3.25,3.5,3.25,2.5,2.5,3,2.5,3,1.6,2.3,4.58333333333333,1,2,1,3.26,-1.49716043285352,4.90909090909091
420759006678,414,1,4.45454545454545,3.66666666666667,3.66666666666667,3.75,3.75,3.5,3.75,3.75,3.5,4,4,4,1.7,1.2,4.08333333333333,2,1,2,3.4,.855520247344866,4.45454545454545
420759006678,514,1,4.81818181818182,3.5, , , , ,3.5,3.75,3.25,3.25,3.25,3.5, ,2, ,2,1,3,3.3,.427760123672433,4.81818181818182
420759004801,Hal,0,4.36363636363636,3.83333333333333, , , , ,4,3.5,4, , , , ,1, ,2,1,1,3.9,1.2832803710173,0
420759004801,Jam,0,4.09090909090909,3.83333333333333,4,4,4,4,3.75,4,3.75, , , ,1.7,2.3,3.83333333333333,2,4,1,3.3,1.2832803710173,0
420759004801,212,1,3.27272727272727,3.66666666666667,4,4,4,4,3.75,3.5,3.75,3.25,3,3.75,3,3.3,3.41666666666667,2,2,1,3.98,.855520247344866,3.27272727272727
420759004801,325,1,4.63636363636364,2.91666666666667,3.58333333333333,3.75,3.5,3.5,3.5,2.75,2.5,2.75,2,2.25,1,2.2,5,1,1,1,3.8,-1.06940030918108,4.63636363636364
420759004801,367,1,5,3.66666666666667,3.5,3.25,3.25,4,3.5,3.75,3.75,2.75,2.25,3,1.4,1,4.58333333333333,2,2,1,3.66,.855520247344866,5
420759004801,326,1,4.45454545454545,2.83333333333333,3.5,3.75,3.5,3.25,3,2.75,2.75,3,2.75,3.25,1.6,2.1,4.75,2,1,1,3.8,-1.2832803710173,4.45454545454545
420759004801,366,1,3.27272727272727,2.83333333333333,3.41666666666667,3.75,3.5,3,3.5,2.5,2.5,3.25,3,2.5,3,2,1.75,1,2,1,3.8,-1.2832803710173,3.27272727272727
420759004801,510,1,5,3,3.16666666666667,3.5,3.5,2.5,3.5,2.5,3,2.75,2.25,2.5,2.7,2.1,4.08333333333333,2,1,2,3.46,-.855520247344866,5
420759004801,564,1,4.09090909090909,3.58333333333333,3.16666666666667,3.5,3,3,3.75,3.5,3.5,3.75,3,3.75,2,2,4.16666666666667,2,1,1,3.4,.64164018550865,4.09090909090909
420759001749,368,1,4.36363636363636,3.25,3.66666666666667,4,3,4,3,2.75,4,3.25,3.25,4,1.5,1.9,4.75,2,2,1,3.9,-.213880061836216,4.36363636363636
420759000667,365,1,4.72727272727273,3.83333333333333,4,4,4,4,3.75,4,3.75,4,3.75,3.75,1.4,1.7,5,2,1,3,3.7,1.2832803710173,4.72727272727273
420759000667,364,1,4.90909090909091,3.58333333333333,3.66666666666667,3.75,3.5,3.75,3.25,4,3.5,3,2.75,3.5,2.9,2.4,4.33333333333333,2,2,1,3.77,.64164018550865,4.90909090909091
420759000667,585,1,4.90909090909091,3.16666666666667,3.58333333333333,3.5,3.75,3.5,3,3.25,3.25,3.25,3.5,4,1.3,2.1,5,2,1,2,3.6,-.427760123672433,4.90909090909091
420759000667,579,1,5,3.5,4,4,4,4,3.25,3.25,4,3.25,3.75,4,1,1,4.66666666666667,2,1,1,3.5,.427760123672433,5
420759000667,512,1,4.63636363636364,3.16666666666667, , , , ,2.75,3.75,3,2.75,2.5,2, ,2, ,2,1,1,3.6,-.427760123672433,4.63636363636364
420759000667,568,1,3.81818181818182,2.33333333333333, , , , ,2.5,2.5,2,3,4,3.25, ,3, ,2,2,4,3.8,-2.5665607420346,3.81818181818182
420711004849,Ali,0,4.63636363636364,2.91666666666667,3.33333333333333,3.25,3.25,3.5,3.25,2.75,2.75, , , ,2,2.4,4.66666666666667,2,1,1,3.6,-1.06940030918108,0
420711001699,Car,0,4.27272727272727,3.41666666666667,3.41666666666667,3.5,3.5,3.25,3,4,3.25, , , ,2.3,1.9,4.83333333333333,2,1,3,3.9,.213880061836217,0
420655006267,Kat,0,3.81818181818182,3.25,3.91666666666667,4,4,3.75,3.5,3,3.25, , , ,2,2.1,5,2,1,1,3.8,-.213880061836216,0
420540006783,Sar,0,3.81818181818182,3.16666666666667,3.58333333333333,4,3.5,3.25,3.5,3,3, , , ,2.6,2.1,3.16666666666667,2,1,1,3.2,-.427760123672433,0
420540001811,Aly,0,3.90909090909091,3.66666666666667,4,4,4,4,3.75,3.5,3.75, , , ,1.5,2.4,4.66666666666667,2,2,1,3.5,.855520247344866,0
420540001781,Kri,0,5,3.83333333333333,3.58333333333333,3.5,3.5,3.75,4,4,3.5, , , ,1.9,1.9, ,2,1,1,3.7,1.2832803710173,0
420540001778,Emi,0,3,3.08333333333333,3,2.75,3,3.25,3.25,3,3, , , ,2.6,3.6,3.75,2,1,2,3.6,-.641640185508649,0
420540001778,496,1,4.81818181818182,3.33333333333333, , , , ,3.5,3.25,3.25,3.25,3.5,4, ,1.8, ,2,1,2,3.3,7.15904574140093E-016,4.81818181818182
420540001778,Sam,0,4.36363636363636,3.83333333333333,4,4,4,4,4,4,3.5, , , ,3.7,2.1,1.41666666666667,2,1,1,3.9,1.2832803710173,0
420519007451,Kad,0,4.63636363636364,3.75, , , , ,3.25,4,4, , , , ,2.1, ,2,2,3,3.8,1.06940030918108,0
420519007388,Rob,0,4.72727272727273,3.41666666666667,3.58333333333333,3.5,3.5,3.75,3.5,3.5,3.25, , , ,2.2,2.1,4.58333333333333,1,4,1,4,.213880061836217,0
420519001040,Reb,0,2.90909090909091,3.25,3.5,4,3,3.5,3.75,3,3, , , ,1.9,3,4.66666666666667,2,1,1,3.7,-.213880061836216,0
420519001040,Meg,0,4.18181818181818,3,3.83333333333333,4,3.5,4,3,3,3, , , ,1.1,2,4.75,2,2,1,4,-.855520247344866,0
420501001694,Jes,0,3.72727272727273,3.16666666666667,3.33333333333333,3.5,3.5,3,3.25,3.25,3, , , ,3.1,3.3,3.08333333333333,2,1,2,3.4,-.427760123672433,0
420501001694,239,1,4.18181818181818,2.33333333333333,3.08333333333333,3.5,3.25,2.5,2.5,2.25,2.25,2.5,2.25,3,2.6,3.2,4.41666666666667,1,1,2,3.57,-2.5665607420346,4.18181818181818
420501001694,318,1,4.63636363636364,2.75,4,4,4,4,3.75,2.5,2,3,3.25,3.25,1,1,4.66666666666667,2,1,2,3.4,-1.49716043285352,4.63636363636364
420501001694,335,1,2.81818181818182,2.91666666666667,3,3,3,3,3,2.75,3,3,3,3,2,3.2,3.16666666666667,1,1,2,3.5,-1.06940030918108,2.81818181818182
420501001694,517,1,5,3.16666666666667,3.41666666666667,3.75,3.25,3.25,3.25,3.25,3,2.75,2.75,2.75,1.2,2,4.58333333333333,2,2,2,3.9,-.427760123672433,5
420501001692,226,1,4.09090909090909,2.5,3.16666666666667,3.25,3.25,3,2.5,2.25,2.75,2.75,2.25,2.75,2.7,2.5,3.83333333333333,2,1,1,3.99,-2.13880061836217,4.09090909090909
420501001692,411,1,3.72727272727273,3.5,4,4,4,4,3.5,4,3,3.5,3.25,2.75,1,1.6,4.83333333333333,2,1,1,3.4,.427760123672433,3.72727272727273
420501001691,495,1,3.90909090909091,3.41666666666667,4,4,4,4,3.75,3.25,3.25,3.25,3.25,3.5,2,3.6,4.83333333333333,2,1,1,3.6,.213880061836217,3.90909090909091
420501001689,319,1,5,3.5,3.66666666666667,4,3.25,3.75,4,3,3.5,3.25,3,3,1.7,2.2,4.75,2,1,1,3.96,.427760123672433,5
420501001686,225,1,4.54545454545455,3.16666666666667,3.41666666666667,3.5,3.5,3.25,2.75,3.25,3.5,3.5,3,3.75,2.1,1.9,4.75,2,1,2,3.8,-.427760123672433,4.54545454545455
420501001683,329,1,4.81818181818182,3.41666666666667,3.33333333333333,3.5,3.25,3.25,4,2.75,3.5,3.75,3,3.75,1.4,2.1,4.91666666666667,2,1,1,3.8,.213880061836217,4.81818181818182
420501001683,328,1,4.90909090909091,3.66666666666667,3.91666666666667,3.75,4,4,3.75,4,3.25,3.75,3,3.5,1,1.9,4.75,2,1,1,3.6,.855520247344866,4.90909090909091
420501001683,399,1,4.18181818181818,2.66666666666667,3.25,2.75,3.5,3.5,3,2.25,2.75,3.5,3.25,3,2,2,4.83333333333333,2,1,1,3.8,-1.71104049468973,4.18181818181818
420501001683,398,1,4.90909090909091,3.66666666666667,3.75,3.5,4,3.75,3.75,3.75,3.5,3.5,3.75,3.75,1,2.1,5,2,2,3,3.6,.855520247344866,4.90909090909091
420486001682,561,1,4.90909090909091,3.91666666666667,4,4,4,4,3.75,4,4,3.25,3,3.5,1,1.3,5,2,2,1,3.5,1.49716043285352,4.90909090909091
420423001027,Dia,0,5,4,4,4,4,4,4,4,4, , , ,1.1,1.6,5,2,2,2,4,1.71104049468973,0
420345000003,489,1,5,2.91666666666667, , , , ,3,3,2.75,2.5,2.25,2, ,1, ,1,1,2,3.8,-1.06940030918108,5
420333006788,Kel,0,4.90909090909091,3.08333333333333, , , , ,3,2.75,3.5, , , , ,1.6, ,2,1,1,3.9,-.641640185508649,0
420333006788,Des,0,5,3.75,3.5,2.75,4,3.75,4,3.25,4, , , ,2.2,1.2,5,2,2,1,2.9,1.06940030918108,0
420333001008,Dan,0,5,3.5,4,4,4,4,3.5,3.5,3.5, , , ,1,1,5,2,1,1,3.8,.427760123672433,0
420333001008,Mar,0,4.45454545454545,3.75,3.91666666666667,3.75,4,4,3.75,3.5,4, , , ,1.6,2,4.5,2,2,2,3.6,1.06940030918108,0
420333001006,San,0,3,3.25, , , , ,3.75,3,3, , , , ,1.6, ,2,3,2,4,-.213880061836216,0
420333001006,Ste,0,4.72727272727273,4, , , , ,4,4,4, , , , ,1, ,2,2,1,4,1.71104049468973,0
420333001006,Col,0,4.90909090909091,3.25,3.58333333333333,3.75,3.5,3.5,3.5,3,3.25, , , ,2,2.3,5,2,2,2,3.4,-.213880061836216,0
420083607370,Gab,0,4,3,3.08333333333333,3,3.5,2.75,3.25,3,2.75, , , ,2.3,1.8,4,2,2,1,3.6,-.855520247344866,0
420081306909,292,1,3.45454545454545,3.5,4,4,4,4,3.75,3.75,3,3,3.75,3,2.5,3.2,4.41666666666667,2,4,1,4,.427760123672433,3.45454545454545
420006100503,Ali,0,3.54545454545455,3.16666666666667, , , , ,3.25,3.5,2.75, , , , ,3.4, ,2,1,1,3.3,-.427760123672433,0
420006100503,Pau,0,1.81818181818182,3.41666666666667,4,4,4,4,4,3.25,3, , , ,2,2,4.66666666666667,1,2,1,3.8,.213880061836217,0
341287001636,Jac,0,4.36363636363636,3.5,3.91666666666667,4,3.75,4,3.25,3.75,3.5, , , ,1.2,2.8,5,2,3,3,2.8,.427760123672433,0
341287001612,Tay,0,5,3.08333333333333, , , , ,2.5,4,2.75, , , , ,1, ,2,2,1,3.1,-.641640185508649,0
340300000263,Bla,0,5,3.58333333333333, , , , ,3.5,3.25,4, , , , ,1.1, ,2,2,1,3.1,.64164018550865,0
01191681,Chr,0,5,4,4,4,4,4,4,4,4, , , ,3.1,2.7,3.58333333333333,2,4,3,3.5,1.71104049468973,0
01185984,Dom,0,5,3.91666666666667,4,4,4,4,4,4,3.75, , , ,1.5,1.5,4.58333333333333,2,2,1,3.5,1.49716043285352,0
01184663,Kim,0,5,2.91666666666667, , , , ,2.75,3,3, , , , ,2.9, ,2,2,1,3.4,-1.06940030918108,0
01184663,Lin,0,4.72727272727273,4,3.91666666666667,4,4,3.75,4,4,4, , , ,1.9,2,4.33333333333333,2,4,4,3.7,1.71104049468973,0
 ,Kim,0,5,3.08333333333333,3.91666666666667,4,3.75,4,3,3,3.25, , , ,1.4,1.7,5,2,1,3,3.9,-.641640185508649,0
